Month,"Active Listings, Number of 2016","Active Listings, Number of 2017","Active Listings, Number of 2018","Active Listings, Number of 2019","Active Listings, Number of 2020","Active Listings, Number of 2021","Active Listings, Number of 2022","Active Listings, Number of 2023","Active Listings, Number of 2024","Active Listings, Number of 2025"
Jan,"3,946","3,343","3,052","3,387","3,144","1,847","1,352","1,805","2,053","2,267"
Feb,"3,933","3,421","3,139","3,316","3,013","1,762","1,384","1,768","2,098","2,235"
Mar,"4,158","3,659","3,263","3,430","3,258","1,773","1,462","1,887","1,995","2,316"
Apr,"4,291","3,803","3,477","3,685","3,341","2,017","1,635","2,010","2,153","2,665"
May,"4,368","3,974","3,834","3,900","3,078","1,953","1,719","2,002","2,276","2,789"
Jun,"4,511","4,291","3,950","3,963","2,937","2,066","2,001","2,088","2,411","2,921"
Jul,"4,404","4,261","4,044","4,008","2,776","2,243","2,171","2,134","2,558","2,967"
Aug,"4,429","4,295","4,199","4,013","2,614","2,232","2,110","2,190","2,571","2,999"
Sep,"4,453","4,266","4,167","4,141","2,629","2,224","2,232","2,304","2,642","3,132"
Oct,"4,385","4,128","4,154","4,160","2,554","2,009","2,229","2,494","2,736","3,137"
Nov,"4,029","3,836","3,972","3,682","2,260","1,675","2,288","2,386","2,542","2,782"
Dec,"3,527","3,303","3,502","3,318","2,023","1,430","1,967","2,101","2,290","2,390"
