Month,"Days to Sell, Median 2016","Days to Sell, Median 2017","Days to Sell, Median 2018","Days to Sell, Median 2019","Days to Sell, Median 2020","Days to Sell, Median 2021","Days to Sell, Median 2022","Days to Sell, Median 2023","Days to Sell, Median 2024","Days to Sell, Median 2025"
Jan,38,32,23,28,24,7,7,10,14,16
Feb,37,29,22,23,18,6,6,9,10,12
Mar,26,17,14,15,11,6,6,7,7,10
Apr,17,12,8,10,7,5,6,6,7,7
May,13,11,8,8,7,5,6,6,6,7
Jun,13,11,8,8,9,6,6,6,7,7
Jul,13,13,10,9,7,6,6,6,7,9
Aug,18,12,12,11,7,6,7,6,8,10
Sep,18,15,12,13,6,6,7,7,10,14
Oct,22,17,14,14,6,7,7,7,9,12
Nov,26,16,17,16,6,6,7,8,11,15
Dec,28,21,19,18,6,6,11,11,15,19
