Month,"Sale Price, Median 2016","Sale Price, Median 2017","Sale Price, Median 2018","Sale Price, Median 2019","Sale Price, Median 2020","Sale Price, Median 2021","Sale Price, Median 2022","Sale Price, Median 2023","Sale Price, Median 2024","Sale Price, Median 2025"
Jan,"$215,275","$231,950","$248,000","$253,000","$265,000","$295,000","$332,250","$348,975","$387,750","$399,950"
Feb,"$210,500","$235,200","$245,725","$246,000","$260,000","$318,000","$348,500","$374,900","$395,000","$414,030"
Mar,"$226,000","$239,500","$258,305","$267,000","$281,950","$320,000","$365,000","$365,000","$400,000","$425,000"
Apr,"$227,950","$240,000","$259,000","$269,950","$289,000","$328,500","$370,000","$385,000","$420,090","$422,950"
May,"$235,000","$249,100","$265,000","$272,950","$289,925","$325,000","$380,000","$393,000","$425,000","$435,000"
Jun,"$246,900","$260,000","$274,798","$285,311","$291,000","$342,357","$384,583","$399,995","$435,620","$443,335"
Jul,"$247,250","$262,750","$275,000","$278,700","$305,205","$337,500","$382,450","$400,000","$425,100","$437,408"
Aug,"$239,900","$257,900","$266,133","$279,900","$305,000","$337,500","$370,000","$400,000","$410,240","$420,000"
Sep,"$228,010","$245,000","$254,400","$272,045","$305,446","$335,000","$370,000","$385,000","$420,500","$420,000"
Oct,"$240,000","$235,000","$260,000","$270,000","$311,539","$339,000","$369,908","$392,250","$410,000","$425,000"
Nov,"$235,000","$248,000","$258,150","$274,900","$305,000","$336,036","$370,000","$400,500","$420,000","$412,500"
Dec,"$238,000","$259,725","$253,739","$278,620","$310,000","$330,000","$352,550","$393,200","$419,435","$417,500"
